"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Clube_Desportivo_de_Cerveira","","","","","","","","","","","","Clube Desportivo de Cerveira","Cerveira;;Clube Desportivo de Cerveira",""
"http://pt.wikipedia.org/wiki/Centro_de_Futebol_Mesquita","","","","","","","","","","","","Centro de Futebol Mesquita","CFM",""
"http://pt.wikipedia.org/wiki/Grêmio_Esportivo_Humaitá","","","","","","","","","","","","Grêmio Esportivo Humaitá","Grêmio Esportivo Humaitá;;Grêmio Humaitá",""
"http://pt.wikipedia.org/wiki/Alice_n'_Chains","","","","","","","","","","","","Alice n' Chains","Alice n' Chains",""
"http://pt.wikipedia.org/wiki/Kalem_Company","","","","","","","","","","","","Kalem Company","Kalem Company",""
"http://pt.wikipedia.org/wiki/No-Big-Silence","","","","","","","","","","","","No-Big-Silence","No-Big-Silence",""
"http://pt.wikipedia.org/wiki/City_Lar","","","","","","","","","","","","City Lar","City Lar",""
"http://pt.wikipedia.org/wiki/O_Boticário","","","","","","","","","","","","O Boticário","O Boticário",""
"http://pt.wikipedia.org/wiki/Partido_Trabalhista_Reformador","","","","","","","","","","","","Partido Trabalhista Reformador","Partido Trabalhista Renovador",""
"http://pt.wikipedia.org/wiki/Racing_Football_Club_Union_Luxembourg","","","","","","","","","","","","Racing Football Club Union Luxembourg","Racing;;Racing Football Club Union Lëtzebuerg",""
"http://pt.wikipedia.org/wiki/Mercadorama","","","","","","","","","","","","Mercadorama","Mercadorama",""
"http://pt.wikipedia.org/wiki/Partido_Trabalhista_(Lituânia)","","","","","","","","Darbo Partija","","","","Partido Trabalhista (Lituânia)","Partido Trabalhista",""
"http://pt.wikipedia.org/wiki/Mocidade_Unida_da_Glória","","","","","","","","","","","","Mocidade Unida da Glória","MUG",""
"http://pt.wikipedia.org/wiki/Botafogo_Futebol_Clube_(Porto_Velho)","","","","","","","","","","","","Botafogo Futebol Clube (Porto Velho)","Botafogo;;Botafogo Futebol Clube",""
"http://pt.wikipedia.org/wiki/Filathlo_Somateio_Kozani","","","","","","Sourdia","","","","","","Filathlo Somateio Kozani","Kozani",""
"http://pt.wikipedia.org/wiki/Sociedade_Esportiva_de_Búzios","","","","","","","","","","","","Sociedade Esportiva de Búzios","Búzios",""
"http://pt.wikipedia.org/wiki/Söderhamns_Fotbollförening","","","","","","","","","","","","Söderhamns Fotbollförening","Söderhamns FF;;Söderhamns Fotboll",""
"http://pt.wikipedia.org/wiki/Televisión_de_Galicia","","","","","","","","CRTVG","","","","Televisión de Galicia","A Galega;;Televisión de Galicia",""
"http://pt.wikipedia.org/wiki/Football_Club_Crotone","","","","","","Pitagorici, Tubarões, Rubro-azulinos","","","","","","Football Club Crotone","Crotone;;Football Club Crotone",""
"http://pt.wikipedia.org/wiki/Americana_Esporte_Clube","","","","","","Vasquinho","","","","","","Americana Esporte Clube","Americana",""
"http://pt.wikipedia.org/wiki/Unidos_do_Herval","","","","","","","","","","","","Unidos do Herval","Unidos do Herval",""
"http://pt.wikipedia.org/wiki/Clube_de_Esportes_União","","","","","","CEU, Azulão,;;Celeste, Águia do Pantanal","","","","","","Clube de Esportes União","Clube de Esportes União;;União",""
