"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/Villar_del_Campo","","","","","","","","","","","","Villar del Campo","Villar del Campo",""
"","http://pt.wikipedia.org/wiki/Fairwater","","","","","","","","","","","","Fairwater","Fairwater",""
"","http://pt.wikipedia.org/wiki/NGC_3014","","","","","","","","","","","","NGC 3014","3014, MCG -1-25-43, PGC 28222;;NGC 3014",""
"","http://pt.wikipedia.org/wiki/Kokkothamangalam","","","","","","","","","","","","Kokkothamangalam","Kokkothamangalam",""
"","http://pt.wikipedia.org/wiki/Purwa","","","","","","","","","","","","Purwa","Purwa",""
"","http://pt.wikipedia.org/wiki/Saint-Jean-le-Blanc","","","","","","","","","","","","Saint-Jean-le-Blanc","Saint-Jean-le-Blanc",""
"","http://pt.wikipedia.org/wiki/31206_1998_BF1","","","","","","","","","","","","31206 1998 BF1","1998 BF1",""
"","http://pt.wikipedia.org/wiki/Barèges","","","","","","","","","","","","Barèges","Barèges",""
"","http://pt.wikipedia.org/wiki/Holbæk","","","","","","","","","","","","Holbæk","Holbæk",""
"","http://pt.wikipedia.org/wiki/Nedelino","","","","","","","","","","","","Nedelino","Nedelino",""
"","http://pt.wikipedia.org/wiki/Mirepoix_(Gers)","","","","","","","","","","","","Mirepoix (Gers)","Mirepoix",""
"","http://pt.wikipedia.org/wiki/Vanzay","","","","","","","","","","","","Vanzay","Vanzay",""
"","http://pt.wikipedia.org/wiki/Desert_View_Highlands","","","","","","","","","","","","Desert View Highlands","Desert View Highlands",""
"","http://pt.wikipedia.org/wiki/Valdemanco","","","","","","","","","","","","Valdemanco","Valdemanco",""
"","http://pt.wikipedia.org/wiki/Konduz","","","","","","","","","","","","Konduz","Konduz",""
"","http://pt.wikipedia.org/wiki/Treppo_Grande","","","","","","","","","","","","Treppo Grande","Treppo Grande",""
"","http://pt.wikipedia.org/wiki/Rufina","","","","","","","","","","","","Rufina","Rufina",""
"","http://pt.wikipedia.org/wiki/Pettenbach_(Alta_Áustria)","","","","","","","","","","","","Pettenbach (Alta Áustria)","Pettenbach",""
"","http://pt.wikipedia.org/wiki/Disentis/Mustér","","","","","","","","","","","","Disentis/Mustér","Disentis/Mustér",""
"","http://pt.wikipedia.org/wiki/Vila_Celeste_(bairro_de_São_Paulo)","","","","","","","","","","","","Vila Celeste (bairro de São Paulo)","Vila Celeste",""
"","http://pt.wikipedia.org/wiki/Vieillevie","","","","","","","","","","","","Vieillevie","Vieillevie",""
"","http://pt.wikipedia.org/wiki/2000_CL104","","","","","","","","","","","","2000 CL104","2000 CL104",""
"","http://pt.wikipedia.org/wiki/Sandrigo","","","","","","","","","","","","Sandrigo","SS. Pietro e Paolo;;Sandrigo",""
"","http://pt.wikipedia.org/wiki/Rio_Xambrê","","","","","","","","","","","","Rio Xambrê","Rio Xambrê",""
"","http://pt.wikipedia.org/wiki/Thol-lès-Millières","","","","","","","","","","","","Thol-lès-Millières","Thol-lès-Millières",""
"","http://pt.wikipedia.org/wiki/Nadrlje","","","","","","","","","","","","Nadrlje","Nadrlje",""
"","http://pt.wikipedia.org/wiki/Coulmiers","","","","","","","","","","","","Coulmiers","Coulmiers",""
"","http://pt.wikipedia.org/wiki/Schwendi","","","","","","","","","","","","Schwendi","Schwendi",""
"","http://pt.wikipedia.org/wiki/San_José_(Califórnia)","","","","","","","","","","","","San José (Califórnia)","San José;;São José",""
"","http://pt.wikipedia.org/wiki/(82984)_2001_QV146","","","","","","","","","","","","(82984) 2001 QV146","2001 QV146",""
"","http://pt.wikipedia.org/wiki/37013_2000_TA54","","","","","","","","","","","","37013 2000 TA54","2000 TA54",""
"","http://pt.wikipedia.org/wiki/Rio_Boz_(Mureş)","","","","","","","","","","","","Rio Boz (Mureş)","Rio Boz",""
"","http://pt.wikipedia.org/wiki/Niederkassel","","","","","","","","","","","","Niederkassel","Niederkassel",""
"","http://pt.wikipedia.org/wiki/Smithville_(Oklahoma)","","","","","","","","","","","","Smithville (Oklahoma)","Smithville",""
"","http://pt.wikipedia.org/wiki/Friedens","","","","","","","","","","","","Friedens","Friedens",""
"","http://pt.wikipedia.org/wiki/Palmeirândia","","","","","","Palmeira","","","","","","Palmeirândia","Palmeirândia",""
"","http://pt.wikipedia.org/wiki/Saint-Samson-sur-Rance","","","","","","","","","","","","Saint-Samson-sur-Rance","Saint-Samson-sur-Rance",""
"","http://pt.wikipedia.org/wiki/Žabare_(Kruševac)","","","","","","","","","","","","Žabare (Kruševac)","Žabare",""
"","http://pt.wikipedia.org/wiki/(20475)_1999_NU11","","","","","","","","","","","","(20475) 1999 NU11","1999 NU11",""
"","http://pt.wikipedia.org/wiki/Manderen","","","","","","","","","","","","Manderen","Manderen",""
"","http://pt.wikipedia.org/wiki/Arrigorriaga","","","","","","","","","","","","Arrigorriaga","Arrigorriaga",""
"","http://pt.wikipedia.org/wiki/Montacuto","","","","","","","","","","","","Montacuto","Montacuto",""
"","http://pt.wikipedia.org/wiki/Marolles_(Loir-et-Cher)","","","","","","","","","","","","Marolles (Loir-et-Cher)","Marolles",""
"","http://pt.wikipedia.org/wiki/Rio_Chiriţa","","","","","","","","","","","","Rio Chiriţa","Rio Chiriţa",""
"","http://pt.wikipedia.org/wiki/21758_Adrianveres","","","","","","","","","","","","21758 Adrianveres","Adrianveres",""
"","http://pt.wikipedia.org/wiki/10991_Dulov","","","","","","","","","","","","10991 Dulov","Dulov",""
"","http://pt.wikipedia.org/wiki/Redondesco","","","","","","","","","","","","Redondesco","Redondesco",""
"","http://pt.wikipedia.org/wiki/Levanger","","","","","","","","","","","","Levanger","Levanger",""
"","http://pt.wikipedia.org/wiki/Estação_Vicálvaro","","","","","","","","","","","","Estação Vicálvaro","25pxVicálvaro",""
"","http://pt.wikipedia.org/wiki/Bugewitz","","","","","","","","","","","","Bugewitz","Bugewitz",""
"","http://pt.wikipedia.org/wiki/Zwijndrecht_(Bélgica)","","","","","","","","","","","","Zwijndrecht (Bélgica)","Zwijndrecht",""
"","http://pt.wikipedia.org/wiki/Bourguignon_(Doubs)","","","","","","","","","","","","Bourguignon (Doubs)","Bourguignon",""
"","http://pt.wikipedia.org/wiki/Ștefan_cel_Mare_(Vaslui)","","","","","","","","","","","","Ștefan cel Mare (Vaslui)","Ştefan cel Mare",""
"","http://pt.wikipedia.org/wiki/Pernay","","","","","","","","","","","","Pernay","Pernay",""
"","http://pt.wikipedia.org/wiki/Caserta","","","","","","","","","","","","Caserta","Caserta;;São SebastiãoeSanta Ana",""
"","http://pt.wikipedia.org/wiki/Mugron","","","","","","","","","","","","Mugron","Mugron",""
"","http://pt.wikipedia.org/wiki/Dusi","","","","","","","","","","","","Dusi","Dusi",""
"","http://pt.wikipedia.org/wiki/Tírig","","","","","","","","","","","","Tírig","Tírig",""
"","http://pt.wikipedia.org/wiki/(73902)_1997_GX5","","","","","","","","","","","","(73902) 1997 GX5","1997 GX5",""
"","http://pt.wikipedia.org/wiki/Gornja_Trnava_(Topola)","","","","","","","","","","","","Gornja Trnava (Topola)","Gornja Trnava",""
"","http://pt.wikipedia.org/wiki/Comayagua_(Comayagua)","","","","","","","","","","","","Comayagua (Comayagua)","Comayagua",""
"","http://pt.wikipedia.org/wiki/25071_1998_QN92","","","","","","","","","","","","25071 1998 QN92","1998 QN92",""
"","http://pt.wikipedia.org/wiki/Ilha_de_Oléron","","","","","","","","","","","","Ilha de Oléron","Ilha de Oléron;;Île d'Oléron",""
"","http://pt.wikipedia.org/wiki/Castellane","","","","","","","","","","","","Castellane","Castellane",""
"","http://pt.wikipedia.org/wiki/Nadeş","","","","","","","","","","","","Nadeş","Nadeş",""
"","http://pt.wikipedia.org/wiki/Gargantilla_del_Lozoya_y_Pinilla_de_Buitrago","","","","","","","","","","","","Gargantilla del Lozoya y Pinilla de Buitrago","Gargantilla del Lozoya y Pinilla de Buitrago",""
"","http://pt.wikipedia.org/wiki/Rio_Bug_Ocidental","","","","","","","","","","","","Rio Bug Ocidental","Rio Bug Ocidental",""
"","http://pt.wikipedia.org/wiki/Pomponne","","","","","","","","","","","","Pomponne","Pomponne",""
