"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"José Elmar de Mélo Carvalho","","http://pt.wikipedia.org/wiki/José_Elmar_de_Melo_Carvalho","","","","","","","","","","","","José Elmar de Melo Carvalho","José Elmar de Mélo Carvalho",""
"","","http://pt.wikipedia.org/wiki/Giacomo_Gaioni","","","","","","","","","","","","Giacomo Gaioni","Giacomo Gaioni",""
"","","http://pt.wikipedia.org/wiki/Papa_João_I","","","","","","","","","","","","Papa João I","",""
"","","http://pt.wikipedia.org/wiki/Ahmed_Ramzy","","","","","","","","","","","","Ahmed Ramzy","Ahmed Ramzy",""
"","","http://pt.wikipedia.org/wiki/Maggie_MacNeal","","","","","","","","","","","","Maggie MacNeal","Maggie MacNeal",""
"","","http://pt.wikipedia.org/wiki/Jesse_James_Costa","","","","","","","","","","","","Jesse James Costa","Jesse James Costa",""
"","","http://pt.wikipedia.org/wiki/Iosif_Rotariu","","","","","","","","","","","","Iosif Rotariu","Iosif Rotariu",""
"","","http://pt.wikipedia.org/wiki/Miloslav_Mečíř","","","","","","","","","","","","Miloslav Mečíř","Miloslav Mečíř",""
"","","http://pt.wikipedia.org/wiki/Omar_al-Bashir","","","","","","","","","","","","Omar al-Bashir","Omar Hassan Ahmad al-Bashir;;عمر حسن احمد البشير",""
"","","http://pt.wikipedia.org/wiki/Françoise_Barré-Sinoussi","","","","","","","","","","","","Françoise Barré-Sinoussi","Françoise Barré-Sinoussi",""
"","","http://pt.wikipedia.org/wiki/Greg_D'Angelo","","","","","","","","","","","","Greg D'Angelo","Greg D'Angelo",""
"","","http://pt.wikipedia.org/wiki/Ildo_Meneghetti","","","","","","","","","","","","Ildo Meneghetti","Ildo Meneghetti",""
"","","http://pt.wikipedia.org/wiki/Lloyd_Hildebrand","","","","","","","","","","","","Lloyd Hildebrand","Lloyd Hildebrand",""
"","","http://pt.wikipedia.org/wiki/Penelope_Jones_Halsall","","","","","","","","","","","","Penelope Jones Halsall","",""
"","","http://pt.wikipedia.org/wiki/Lloyd_Mondory","","","","","","","","","","","","Lloyd Mondory","Lloyd Mondory",""
"","","http://pt.wikipedia.org/wiki/Sarah_Harding","","","","","Sarah Nicole Hardman","","","","","","","Sarah Harding","Sarah Harding",""
"","","http://pt.wikipedia.org/wiki/Manuel_Francisco_de_Barros_e_Sousa_de_Mesquita_de_Macedo_Leitão_e_Carvalhosa","","","","","","","","","","","","Manuel Francisco de Barros e Sousa de Mesquita de Macedo Leitão e Carvalhosa","Manuel Francisco de Barros e Sousa de Mesquita de Macedo Leitão e Carvalhosa",""
"","","http://pt.wikipedia.org/wiki/Marius_Chiţiga","","","","","","","","","","","","Marius Chiţiga","Marius Chiţiga22px;;Marius Căta-Chiţiga",""
